amostra,tamanho,arquivo,teor_carbono,teor_nitrogenio,qtd_mat_org,nitrog_calc,classe,class
C1,256x256,C1A-150.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-151.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-152.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-153.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-154.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-155.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-167.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-168.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-169.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-170.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-39.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-40.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-41.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-42.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-54.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-55.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-56.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-57.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-58.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-59.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-60.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-69.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-70.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-71.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-72.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-73.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-74.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-75.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-76.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-85.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-86.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-87.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-88.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-89.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-90.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-91.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1A-92.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-101.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-102.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-103.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-104.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-105.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-106.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-107.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-108.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-109.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-117.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-118.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-119.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-120.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-121.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-122.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-123.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-124.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-125.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-133.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-134.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-135.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-136.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-137.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-138.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-139.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-140.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-150.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-151.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-152.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-153.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-154.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-155.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-156.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-167.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-168.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-169.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-170.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-171.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-39.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-40.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-41.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-42.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-54.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-55.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-56.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-57.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-58.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-59.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-60.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-69.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-70.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-71.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-72.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-73.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-74.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-75.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-76.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-85.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-86.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-87.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-88.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-89.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-90.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-91.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-92.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C1,256x256,C1B-93.png,4.1,0.26,7.0684,0.35342,Cambisolo,1
C11,256x256,C11A-101.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-102.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-103.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-104.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-105.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-106.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-107.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-108.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-109.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-117.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-118.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-119.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-120.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-121.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-122.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-123.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-124.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-125.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-133.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-134.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-135.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-136.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-137.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-138.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-139.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-140.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-150.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-151.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-152.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-153.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-154.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-155.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-167.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-168.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-169.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-170.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-39.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-40.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-41.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-42.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-54.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-55.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-56.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-57.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-58.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-59.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-69.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-70.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-71.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-72.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-73.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-74.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-75.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-76.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-85.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-86.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-87.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-88.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-89.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-90.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-91.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-92.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11A-93.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-101.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-102.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-103.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-104.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-105.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-106.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-107.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-108.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-109.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-117.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-118.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-119.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-120.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-121.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-122.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-123.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-124.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-125.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-133.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-134.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-135.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-136.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-137.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-138.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-139.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-140.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-150.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-151.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-152.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-153.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-154.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-155.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-156.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-167.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-168.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-169.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-170.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-39.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-40.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-41.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-42.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-54.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-55.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-56.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-57.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-58.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-59.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-69.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-70.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-71.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-72.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-73.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-74.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-75.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-76.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-85.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-86.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-87.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-88.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-89.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-90.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-91.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C11,256x256,C11B-92.png,3.58,0.25,6.17192,0.308596,Cambisolo,1
C13,256x256,C13A-101.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-102.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-103.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-104.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-105.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-106.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-107.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-108.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-109.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-117.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-118.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-119.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-120.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-121.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-122.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-123.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-124.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-125.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-133.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-134.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-135.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-136.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-137.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-138.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-139.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-140.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-150.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-151.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-152.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-153.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-154.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-155.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-167.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-168.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-169.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-170.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-39.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-40.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-41.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-42.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-54.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-55.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-56.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-57.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-58.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-59.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-69.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-70.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-71.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-72.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-73.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-74.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-75.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-76.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-85.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-86.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-87.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-88.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-89.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-90.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-91.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-92.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13A-93.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-101.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-102.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-103.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-104.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-105.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-106.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-107.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-108.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-109.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-117.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-118.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-119.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-120.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
C13,256x256,C13B-121.png,1.89,0.13,3.25836,0.162918,Cambisolo,1
